0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.275,0.55,1.0,1.0,0.9,0.45,0.225,0.025,1.0
1.0,0.275,0.0,0.55,1.0,1.0,0.9,0.45,0.05,0.275,1.0
1.0,0.55,0.55,0.0,1.0,1.0,0.9,0.1,0.55,0.55,1.0
1.0,1.0,1.0,1.0,0.0,1.0,0.2,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9,0.9,0.9,0.2,1.0,0.0,0.9,0.9,0.9,1.0
1.0,0.45,0.45,0.1,1.0,1.0,0.9,0.0,0.45,0.45,1.0
1.0,0.225,0.05,0.55,1.0,1.0,0.9,0.45,0.0,0.225,1.0
1.0,0.025,0.275,0.55,1.0,1.0,0.9,0.45,0.225,0.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
