0.0,0.00011,0.00013,0.00016,0.00021,0.00037,0.00019,0.00015,0.00012,0.00011,0.0002
0.00011,0.0,3e-05,6e-05,0.00011,0.00035,9e-05,4e-05,2e-05,0.0,0.00011
0.00013,3e-05,0.0,5e-05,0.00011,0.00035,9e-05,5e-05,1e-05,3e-05,0.00013
0.00016,6e-05,5e-05,0.0,0.00011,0.00035,9e-05,1e-05,5e-05,6e-05,0.00016
0.00021,0.00011,0.00011,0.00011,0.0,0.00046,2e-05,0.00011,0.00011,0.00011,0.00021
0.00037,0.00035,0.00035,0.00035,0.00046,0.0,0.00044,0.00035,0.00035,0.00035,0.00037
0.00019,9e-05,9e-05,9e-05,2e-05,0.00044,0.0,9e-05,9e-05,9e-05,0.00019
0.00015,4e-05,5e-05,1e-05,0.00011,0.00035,9e-05,0.0,5e-05,4e-05,0.00015
0.00012,2e-05,1e-05,5e-05,0.00011,0.00035,9e-05,5e-05,0.0,2e-05,0.00012
0.00011,0.0,3e-05,6e-05,0.00011,0.00035,9e-05,4e-05,2e-05,0.0,0.00011
0.0002,0.00011,0.00013,0.00016,0.00021,0.00037,0.00019,0.00015,0.00012,0.00011,0.0
