0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.06875,0.1375,0.275,0.55,1.0,1.0,0.9,0.45,0.225,0.1125,0.05625,0.00625,1.0
1.0,0.06875,0.0,0.1375,0.275,0.55,1.0,1.0,0.9,0.45,0.225,0.1125,0.0125,0.06875,1.0
1.0,0.1375,0.1375,0.0,0.275,0.55,1.0,1.0,0.9,0.45,0.225,0.025,0.1375,0.1375,1.0
1.0,0.275,0.275,0.275,0.0,0.55,1.0,1.0,0.9,0.45,0.05,0.275,0.275,0.275,1.0
1.0,0.55,0.55,0.55,0.55,0.0,1.0,1.0,0.9,0.1,0.55,0.55,0.55,0.55,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9,0.9,0.9,0.9,0.9,0.2,1.0,0.0,0.9,0.9,0.9,0.9,0.9,1.0
1.0,0.45,0.45,0.45,0.45,0.1,1.0,1.0,0.9,0.0,0.45,0.45,0.45,0.45,1.0
1.0,0.225,0.225,0.225,0.05,0.55,1.0,1.0,0.9,0.45,0.0,0.225,0.225,0.225,1.0
1.0,0.1125,0.1125,0.025,0.275,0.55,1.0,1.0,0.9,0.45,0.225,0.0,0.1125,0.1125,1.0
1.0,0.05625,0.0125,0.1375,0.275,0.55,1.0,1.0,0.9,0.45,0.225,0.1125,0.0,0.05625,1.0
1.0,0.00625,0.06875,0.1375,0.275,0.55,1.0,1.0,0.9,0.45,0.225,0.1125,0.05625,0.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
