0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,4e-05,9e-05,0.00017,0.00034,0.00068,0.00137,0.00273,0.00547,0.01094,0.02188,0.04375,0.0875,0.175,0.35,0.7,1.0,1.0,0.65,0.325,0.1625,0.08125,0.04062,0.02031,0.01016,0.00508,0.00254,0.00127,0.00063,0.00032,0.00016,8e-05,2e-05,1.0
1.0,4e-05,0.0,9e-05,0.00017,0.00034,0.00068,0.00137,0.00273,0.00547,0.01094,0.02187,0.04375,0.0875,0.175,0.35,0.7,1.0,1.0,0.65,0.325,0.1625,0.08125,0.04063,0.02031,0.01016,0.00508,0.00254,0.00127,0.00063,0.00032,0.00016,4e-05,4e-05,1.0
1.0,9e-05,9e-05,0.0,0.00017,0.00034,0.00068,0.00137,0.00273,0.00547,0.01094,0.02187,0.04375,0.0875,0.175,0.35,0.7,1.0,1.0,0.65,0.325,0.1625,0.08125,0.04063,0.02031,0.01016,0.00508,0.00254,0.00127,0.00063,0.00032,7e-05,9e-05,9e-05,1.0
1.0,0.00017,0.00017,0.00017,0.0,0.00034,0.00068,0.00137,0.00273,0.00547,0.01094,0.02188,0.04375,0.0875,0.175,0.35,0.7,1.0,1.0,0.65,0.325,0.1625,0.08125,0.04062,0.02031,0.01016,0.00508,0.00254,0.00127,0.00063,0.00015,0.00017,0.00017,0.00017,1.0
1.0,0.00034,0.00034,0.00034,0.00034,0.0,0.00068,0.00137,0.00273,0.00547,0.01094,0.02188,0.04375,0.0875,0.175,0.35,0.7,1.0,1.0,0.65,0.325,0.1625,0.08125,0.04062,0.02031,0.01016,0.00508,0.00254,0.00127,0.00029,0.00034,0.00034,0.00034,0.00034,1.0
1.0,0.00068,0.00068,0.00068,0.00068,0.00068,0.0,0.00137,0.00273,0.00547,0.01094,0.02187,0.04375,0.0875,0.175,0.35,0.7,1.0,1.0,0.65,0.325,0.1625,0.08125,0.04063,0.02031,0.01016,0.00508,0.00254,0.00059,0.00068,0.00068,0.00068,0.00068,0.00068,1.0
1.0,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.0,0.00273,0.00547,0.01094,0.02188,0.04375,0.0875,0.175,0.35,0.7,1.0,1.0,0.65,0.325,0.1625,0.08125,0.04063,0.02031,0.01016,0.00508,0.00117,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,1.0
1.0,0.00273,0.00273,0.00273,0.00273,0.00273,0.00273,0.00273,0.0,0.00547,0.01094,0.02188,0.04375,0.0875,0.175,0.35,0.7,1.0,1.0,0.65,0.325,0.1625,0.08125,0.04063,0.02031,0.01016,0.00234,0.00273,0.00273,0.00273,0.00273,0.00273,0.00273,0.00273,1.0
1.0,0.00547,0.00547,0.00547,0.00547,0.00547,0.00547,0.00547,0.00547,0.0,0.01094,0.02188,0.04375,0.0875,0.175,0.35,0.7,1.0,1.0,0.65,0.325,0.1625,0.08125,0.04063,0.02031,0.00469,0.00547,0.00547,0.00547,0.00547,0.00547,0.00547,0.00547,0.00547,1.0
